RADICADO,FECHA ACCIDENTE,HORA ACCIDENTE,CLASE ACCIDENTE,GRAVEDAD,CLASIFICACIÓN,DIRECCION,BARRIO,AREA ACCIDENTE,ESTADO DELTIEMPO,No. VICTIMA PEATON,No. VICTIMA ACOMPANANTE,No. VICTIMA PASAJERO,No. VICTIMA CONDUCTOR,No. VICTIMA HERIDO,No. VICTIMA MUERTO
21385,09/14/2023 12:00:00 AM,16:30:00,Choque,herido,Ciclista-Motociclista,LAS S KM 29+ 750 BLANQUILLOS,Esmeralda,Rural,Normal,0,1,0,1,2,0
21386,09/06/2023 12:00:00 AM,17:15:00,Choque,herido,Ciclista-Motociclista,EL MACHETE VIA HATILLO- BELLO RUTA 2510 KM 20+800,Esmeralda,Rural,Normal,0,1,0,2,3,0
21387,09/17/2023 12:00:00 AM,14:40:00,Volcamiento,herido,Ciclista-Motociclista,LA CUESTA VIA SANTO DOMINGO LA CUESTA BARBOSA,Esmeralda,Rural,Normal,0,1,0,1,2,0
21237,04/10/2023 12:00:00 AM,14:55:00,Choque,herido,Ciclista-Motociclista,ruta 6205 km 27+500,Papelsa,Rural,Normal,0,1,0,1,2,0
21238,03/28/2023 12:00:00 AM,10:50:00,Volcamiento,herido,Ciclista-Motociclista,hatillo barbosa km 4+100 barbosa,Papelsa,Rural,Normal,0,1,0,1,2,0
21281,05/17/2023 12:00:00 AM,7:40:00,Choque,herido,Ciclista-Motociclista,KM33+950 VIA MEDELLIN- LLANOS DE CUIBA,Papelsa,Rural,Lluvia,0,0,0,1,1,0
21202,02/17/2023 12:00:00 AM,16:25:00,Choque,herido,Ciclista-Motociclista,carrera 21 #4-39,Papelsa,Urbana,Normal,0,0,0,2,2,0
21240,04/24/2023 12:00:00 AM,6:20:00,Volcamiento,herido,Ciclista-Motociclista,ruta 25a19 km 7+500,Papelsa,Rural,Normal,0,0,0,1,1,0
21241,04/08/2023 12:00:00 AM,8:00:00,Volcamiento,herido,Ciclista-Motociclista,vereda la calda km 13,Vereda La Calda,Rural,Normal,0,0,0,1,1,0
21242,04/08/2023 12:00:00 AM,5:45:00,Volcamiento,herido,Ciclista-Motociclista,6205 km 6+00,Papelsa,Rural,Normal,0,0,0,1,1,0
21243,04/12/2023 12:00:00 AM,9:45:00,Volcamiento,herido,Ciclista-Motociclista,6205 km 4+000 via hatillo,Papelsa,Rural,Normal,0,0,0,1,1,0
21244,04/23/2023 12:00:00 AM,22:00:00,Volcamiento,herido,Ciclista-Motociclista,calle 15 # 34-24,Papelsa,Urbana,Lluvia,0,1,0,0,1,0
21245,04/08/2023 12:00:00 AM,20:00:00,Choque,herido,Ciclista-Motociclista,via eco tr 602 km 4,Papelsa,Rural,Normal,0,0,0,2,2,0
21249,04/08/2023 12:00:00 AM,9:05:00,Choque,herido,Ciclista-Motociclista,6205 km 8+500,Papelsa,Rural,Normal,0,0,0,1,1,0
21251,04/27/2023 12:00:00 AM,1:45:00,Choque,herido,Ciclista-Motociclista,via barbosa- hartillo km 1+600,Papelsa,Rural,Lluvia,0,0,0,1,1,0
21252,04/18/2023 12:00:00 AM,0:00:00,Atropello,herido,Ciclista-Motociclista,entrada vereda vallecitos,Papelsa,Rural,Normal,1,0,0,0,1,0
21388,09/18/2023 12:00:00 AM,14:00:00,Choque,herido,Ciclista-Motociclista,vereda tamborcito km 11 aproximada,Esmeralda,Rural,Normal,0,0,0,1,1,0
21389,09/17/2023 12:00:00 AM,23:00:00,Choque,herido,Ciclista-Motociclista,VEREDA EL  ECO 6205 KM 4,Esmeralda,Rural,Normal,0,0,0,2,2,0
21390,09/15/2023 12:00:00 AM,20:00:00,Atropello,herido,Ciclista-Motociclista,VEREDA PLATANITO KM 8,Esmeralda,Rural,Normal,1,0,0,1,2,0
21169,01/30/2023 12:00:00 AM,21:45:00,Volcamiento,herido,Ciclista-Motociclista,carrera 21 entre calles 17 y 18,Papelsa,Urbana,Normal,0,0,0,1,1,0
21170,01/29/2023 12:00:00 AM,11:10:00,Volcamiento,herido,Conductor,hospital,Papelsa,Urbana,Normal,0,0,0,1,1,0
21208,03/02/2023 12:00:00 AM,10:14:00,Choque,herido,Ciclista-Motociclista,frente al hospital,Parque de las Aguas,Urbana,Normal,0,0,0,1,1,0
21239,03/28/2023 12:00:00 AM,19:00:00,Volcamiento,herido,Ciclista-Motociclista,VIA 6205 + KILOMETRO 9,Papelsa,Rural,Lluvia,0,0,0,1,1,0
21331,07/15/2023 12:00:00 AM,9:30:00,Atropello,herido,Ciclista-Motociclista,vereda la gomez via el eco km 4 + 200,Esmeralda,Rural,Normal,0,0,1,0,1,0
21332,07/15/2023 12:00:00 AM,8:00:00,Choque,herido,Ciclista-Motociclista,HATILLO BELLO KM 20 +800 EL MACHETE,Esmeralda,Rural,Normal,0,0,1,2,3,0
21360,08/08/2023 12:00:00 AM,15:55:00,Choque,herido,Ciclista-Motociclista,LOS LAVADEROS K 0 7 + 600 CR 21 # 02 -124,Esmeralda,Rural,Normal,0,0,0,1,1,0
21246,04/08/2023 12:00:00 AM,17:00:00,Atropello,herido,Ciclista-Motociclista,cra 14# 15 frente de # 52,Esmeralda,Urbana,Normal,1,0,0,0,1,0
21247,04/09/2023 12:00:00 AM,5:25:00,Choque,herido,Ciclista-Motociclista,tr 25 an 19 km 7 + 900,Esmeralda,Rural,Normal,0,0,1,0,1,0
21248,04/19/2023 12:00:00 AM,16:10:00,Choque,herido,Ciclista-Motociclista,2510 km 21 + 400,Esmeralda,Rural,Normal,0,0,1,1,2,0
21250,04/25/2023 12:00:00 AM,14:42:00,Choque,herido,Ciclista-Motociclista,km 2 + 200,Esmeralda,Rural,Normal,0,0,1,1,2,0
21361,08/10/2023 12:00:00 AM,14:30:00,Choque,herido,Ciclista-Motociclista,LOS ABUELOS CLL 21 X CR 17 (AUT 6205 KM 9+200),Esmeralda,Urbana,Normal,0,1,0,1,2,0
21362,08/10/2023 12:00:00 AM,17:35:00,Choque,herido,Ciclista-Motociclista,VEREDA ISAZA KM 5+900 APROX,Esmeralda,Rural,Normal,0,0,0,1,1,0
21396,09/26/2023 12:00:00 AM,14:35:00,Choque,herido,Ciclista-Motociclista,sector la maquina,Esmeralda,Rural,Normal,0,0,0,1,1,0
21397,09/24/2023 12:00:00 AM,18:00:00,Caida Ocupante,herido,Ciclista-Motociclista,no reporta,Esmeralda,Rural,Normal,0,0,1,0,1,0
21159,01/21/2023 12:00:00 AM,5:30:00,Volcamiento,herido,Conductor,km0+800,Papelsa,Rural,Normal,0,0,0,1,1,0
21341,01/09/2023 12:00:00 AM,11:00:00,Choque,herido,Ciclista-Motociclista,hatillo llanos de cubio km 28 + 900 ryta 2510 estadero brisas del norte,Esmeralda,Rural,Normal,0,0,0,1,1,0
21342,05/04/2023 12:00:00 AM,23:30:00,Choque,daño,Ciclista-Motociclista,puerto mulero bello llanos cubia km 25+00 barbosa,Esmeralda,Rural,Normal,,,,,,
21343,01/03/2023 12:00:00 AM,11:00:00,Choque,daño,Ciclista-Motociclista,isaza via hatillo pradera km 04+500 ruta 6205a,Esmeralda,Rural,Normal,,,,,,
21344,01/05/2023 12:00:00 AM,1:10:00,Choque,daño,Ciclista-Motociclista,VIA HATILLO PRADERA KM 3+500,Esmeralda,Rural,Normal,,,,,,
21179,01/18/2023 12:00:00 AM,9:20:00,Volcamiento,herido,Ciclista-Motociclista,Vereda el saladito,Esmeralda,Rural,Normal,0,0,1,1,2,0
21356,07/31/2023 12:00:00 AM,13:15:00,Choque,herido,Ciclista-Motociclista,TAMBORCITO CALLE 2,Esmeralda,Rural,Normal,0,1,0,2,3,0
21357,07/29/2023 12:00:00 AM,22:20:00,Volcamiento,herido,Ciclista-Motociclista,LA PLAYITA VIA LA MONTAÑITA,Esmeralda,Rural,Viento,0,0,0,1,1,0
21358,07/29/2023 12:00:00 AM,21:50:00,Choque,herido,Ciclista-Motociclista,EL BALLO VIA LA CHORRERA,Esmeralda,Rural,Viento,0,0,0,1,1,0
21359,07/27/2023 12:00:00 AM,8:30:00,Choque,herido,Ciclista-Motociclista,VEREDA ISAZA,Esmeralda,Rural,Normal,0,0,0,1,1,0
21368,08/24/2023 12:00:00 AM,10:10:00,Atropello,herido,Ciclista-Motociclista,vereda el cortado,Esmeralda,Rural,Normal,1,0,0,1,2,0
21369,08/20/2023 12:00:00 AM,20:30:00,Atropello,herido,Ciclista-Motociclista,el machete km 20 + 850,Esmeralda,Rural,Normal,1,0,0,0,1,0
21370,08/26/2023 12:00:00 AM,3:40:00,Otro,herido,Ciclista-Motociclista,VEREDA SALADITO KM 6 + 300 VIA HATILLO H.S.V.P,Esmeralda,Rural,Normal,0,0,0,1,1,0
21206,03/03/2023 12:00:00 AM,11:30:00,Volcamiento,herido,Conductor,vereda el porvenir,Papelsa,Rural,Normal,0,0,0,1,1,0
